"code_ogr","libelle","code_type_referentiel","code_ref_rubrique","code_tete_rgpmt","libelle_activite_impression","libelle_en_tete_regroupement"
"100311","Assister les animaux lors des mises bas et prodiguer les premiers soins aux nouveau-nés","2","6","","",""
"100311","Assister les animaux lors des mises bas et prodiguer les premiers soins aux nouveau-nés","2","9","","",""
"100314","Procéder au caillage du lait après sa mise en cuve","2","6","","",""
"100318","Emprésurage du lait","1","7","","",""
"100319","Pressage manuel du caillé","1","7","","",""
"100320","Salage manuel","1","7","","",""
"100321","Utilisation d''instruments de mesure (hygromètre, PH-mètre, ...)","1","7","","",""
"100322","Découpe manuelle de fromage","1","7","","",""
"100339","Composition de plateaux de fromages","1","10","","",""
"100340","Techniques de vente","1","10","","",""
"100340","Techniques de vente","1","7","","",""
"100341","Procédures d''encaissement","1","10","","",""
"100341","Procédures d''encaissement","1","7","","",""
"100343","Législation sociale","1","10","","",""
"100343","Législation sociale","1","7","","",""
"100347","Réaliser la mise en fûts ou en bouteilles, le bouchage, l''étiquetage du vin, du cidre, de la bière, ...","2","6","","",""
"100354","Types de cépages (ampélographie)","1","10","","",""
"100354","Types de cépages (ampélographie)","1","7","","",""
"100356","Oenologie","1","10","","",""
"100356","Oenologie","1","7","","",""
"100357","Réglementation sur la production vinicole","1","7","","",""
"100358","Réglementation sur la production cidricole","1","7","","",""
"100359","Règles d''hygiène et de sécurité alimentaire","1","10","","",""
"100359","Règles d''hygiène et de sécurité alimentaire","1","7","","",""
"100362","Procédures d''échantillonnage","1","10","","",""
"100362","Procédures d''échantillonnage","1","7","","",""
"100367","Utilisation d''appareils de distillation (alambic)","1","10","","",""
"100367","Utilisation d''appareils de distillation (alambic)","1","7","","",""
"100369","Vignobles et appellations","1","7","","",""
"100373","Techniques d''assemblages de vins, de jus","1","10","","",""
"100376","Sommellerie","1","10","","",""
"100381","Argumentation commerciale","1","10","","",""
"100381","Argumentation commerciale","1","7","","",""
"100387","Surveiller l''état de l''embarcation pendant la navigation, détecter les anomalies (avaries, ...) et en informer le maître d''équipage ou l''officier de quart","2","6","","",""
"100388","Effectuer les manoeuvres d''accostage ou d''appareillage du bateau","2","6","","",""
"100388","Effectuer les manoeuvres d''accostage ou d''appareillage du bateau","2","9","","",""
"100390","Manoeuvre du skiff","1","7","","",""
"100392","Techniques de matelotage","1","7","","",""
"100408","Identifier le motif de consultation et son degré d''urgence et informer le client sur les modalités de prise en charge de l''animal","2","6","","",""
"100409","Préparer et installer l''animal (désinfection, rasage, mise en cage, ...)","2","6","","",""
"100410","Préparer le matériel et apporter une aide technique au vétérinaire, à l''éleveur, ...","2","6","","",""
"100414","Règles d''hygiène et d''asepsie","1","10","","",""
