"code_ogr","riasec_majeur","riasec_mineur"
"104892","R",""
"104893","R",""
"104894","R",""
"104895","R",""
"104896","R",""
"104900","R",""
"104901","R",""
"104902","R",""
"104903","R",""
"104904","R",""
"104908","C","R"
"104910","R",""
"104914","R",""
"104915","R",""
"104916","R",""
"104917","R",""
"104918","R",""
"104919","R",""
"104920","R",""
"104921","R",""
"104922","R","A"
"104923","R",""
"104924","R",""
"104925","R",""
"104926","R",""
"104927","R",""
"104928","R",""
"104929","R",""
"104930","R",""
"104932","R",""
"104933","R",""
"104934","R",""
"104935","R",""
"104936","R",""
"104937","R",""
"104943","C",""
"104945","R","C"
"104946","R","I"
"104947","R","C"
"104952","R",""
"104953","R",""
"104954","R","C"
"104955","R","C"
"104956","R",""
"104958","R",""
"104959","R",""
"104960","R","A"
"104961","R",""
"104962","R",""
"104970","R","E"
"104971","R",""
"104972","R",""
"104973","R",""
"104974","R",""
"104975","R",""
"104976","R",""
"104977","R",""
"104979","R",""
"104980","R",""
"104988","R",""
"104989","R",""
"104990","R",""
"104991","R",""
"104992","R",""
"104993","R",""
"104994","R",""
"104995","R",""
"104996","R",""
"104997","R",""
"105002","R","C"
"105012","R",""
"105014","R",""
"105015","R","A"
"105030","R","A"
"105031","R","A"
"105062","R","A"
"105063","R","A"
"105064","R","A"
"105068","R",""
"105069","R","A"
"105085","R",""
"105101","R","A"
"105102","R","A"
"105103","I","R"
"105105","C","R"
"105110","R",""
"105113","C","R"
"105132","C",""
"105140","E","R"
"105141","E","R"
"105148","R",""
"105149","R",""
"105150","R",""
"105152","R",""
"105160","R","A"
"105161","R","A"
"105163","R",""
"105164","R","A"
"105165","R","A"
"105167","R",""
"105169","R",""
"105171","R",""
"105172","R",""
"105173","R",""
"105174","R",""
"105175","R",""
"105178","R",""
"105179","R",""
"105180","R","A"
"105181","R",""
"105182","R",""
"105183","R",""
"105192","R",""
"105193","R",""
"105194","C",""
"105199","R",""
"105200","R",""
"105201","R",""
"105202","R",""
"105203","R",""
"105204","R",""
"105208","R","A"
"105209","R","A"
"105210","R","A"
"105211","R","A"
"105212","R","A"
"105213","R","A"
"105214","R","A"
"105216","R","A"
"105217","R","A"
"105218","R","A"
"105219","R","A"
"105220","R","A"
"105221","R","A"
"105225","R",""
"105226","R",""
"105227","R","A"
"105228","R",""
"105229","R",""
"105230","R",""
"105238","C",""
"105239","R",""
"105253","R",""
"105254","R",""
"105255","R",""
"105256","R",""
"105261","R",""
"105262","R",""
"105264","R",""
"105265","R",""
"105266","R",""
"105269","R",""
"105270","R",""
"105271","R",""
"105272","R",""
"105275","R",""
"105276","C",""
"105282","C",""
"105283","C",""
"105284","C",""
"105285","C",""
"105286","C",""
"105287","C",""
"105288","C",""
"105289","C",""
"105290","C",""
"105291","C",""
"105292","C",""
"105293","C",""
"105300","R",""
"105302","C",""
"105307","R",""
"105308","R",""
"105309","R",""
"105310","R",""
"105313","R","C"
"105314","R",""
"105315","R",""
"105326","R",""
"105329","C",""
"105336","I","C"
"105337","I","C"
"105338","I","C"
"105339","I","C"
"105340","I","C"
"105341","R",""
"105342","R",""
"105343","R",""
"105344","R",""
"105345","R",""
"105346","R",""
"105347","R",""
"105348","R",""
"105349","R",""
"105350","R",""
"105351","R",""
"105352","R",""
"105353","R",""
"105354","R",""
"105355","R",""
"105356","R",""
"105357","R",""
"105358","R",""
"105367","R",""
"105369","C",""
"105370","R",""
"105371","C",""
"105377","R",""
"105378","R",""
"105379","R",""
"105380","R",""
"105381","R",""
"105382","R",""
"105383","R",""
"105384","R",""
"105385","R",""
"105386","R",""
"105387","R",""
"105388","R",""
"105390","R",""
"105403","R",""
"105405","R",""
"105407","R","C"
"105409","C",""
"105412","R","A"
"105413","R","A"
"105414","R","A"
"105415","R","A"
"105416","R","A"
"105417","R","A"
"105418","R","A"
"105419","R","A"
"105420","R","A"
"105421","R","A"
"105422","R","A"
"105423","R","A"
"105424","R","A"
"105430","R",""
"105433","R",""
"105444","R",""
"105445","R",""
"105446","R",""
"105447","R",""
"105448","R",""
"105456","C",""
"105458","R",""
"105459","C",""
"105466","R","A"
"105467","R","A"
"105468","R","A"
"105469","R",""
"105470","R",""
"105471","R",""
"105472","R",""
"105473","R",""
"105474","R",""
"105475","R",""
"105479","R",""
"105483","C",""
"105488","R",""
"105489","R",""
"105490","R",""
"105491","R",""
"105492","R",""
"105493","R","A"
"105494","R","A"
"105495","R","A"
"105501","C",""
"105502","C","R"
"105503","C","R"
"105505","C","R"
"105506","R","C"
"105518","R","A"
"105520","R","A"
"105521","R","A"
"105522","R","A"
"105529","R","A"
"105530","R","A"
"105531","R","A"
"105537","C",""
"105538","R",""
"105539","R","I"
"105541","R",""
"105542","R",""
"105543","R",""
"105544","R",""
"105545","R",""
"105546","R",""
"105547","R",""
"105548","R",""
"105554","R",""
"105555","R",""
"105556","R",""
"105557","R",""
"105558","R",""
"105559","R",""
"105560","R",""
"105561","R",""
"105562","R",""
"105563","R",""
"105564","R",""
"105566","C","R"
"105567","R",""
"105569","C",""
"105573","R",""
"105574","R",""
"105575","R",""
"105576","R",""
"105577","R",""
"105580","R",""
"105581","R","A"
"105586","R",""
"105588","R",""
"105589","R",""
"105590","R",""
"105591","R",""
"105592","R","A"
"105596","C",""
"105597","R",""
"105605","C",""
"105606","C",""
"105607","C",""
"105608","C",""
"105609","C",""
"105610","C",""
"105611","C",""
"105612","C",""
"105613","C",""
"105614","C",""
"105615","R",""
"105616","R",""
"105617","R",""
"105618","R",""
"105619","R","A"
"105620","R",""
"105621","R","A"
"105632","R","I"
"105719","R",""
"105720","I","C"
"105721","R",""
"105722","C",""
"105728","R",""
"105729","R",""
"105730","I","R"
"105734","C",""
"105738","R",""
"105739","R",""
"105740","R",""
"105741","R",""
"105742","C",""
"105747","R",""
"105754","R",""
"105755","R",""
"105759","R",""
"105760","R",""
"105761","R",""
"105762","R",""
"105766","R",""
"105767","R",""
"105769","R",""
"105770","I","C"
"105771","C","R"
"105772","R",""
"105773","R",""
"105775","C",""
"105779","R",""
"105780","R",""
"105781","R",""
"105784","C","R"
"105787","R",""
"105789","R",""
"105799","R",""
"105800","R",""
"105801","R",""
"105802","R",""
"105808","R","C"
"105809","R","C"
"105812","C","R"
"105824","R",""
"105825","R",""
"105826","R",""
"105827","R",""
"105828","R",""
"105829","R",""
"105830","R",""
"105831","R",""
"105832","R",""
"105833","R",""
"105834","R",""
"105835","R",""
"105838","R",""
"105840","R",""
"105841","R",""
"105842","R",""
"105843","R",""
"105844","R",""
"105850","R",""
"105851","R",""
"105853","R","C"
"105854","R","C"
"105855","R","C"
"105856","R","C"
"105857","R","C"
"105858","R","C"
"105864","C",""
"105870","R",""
"105871","R",""
"105872","R",""
"105873","R",""
"105874","R",""
"105875","R",""
"105876","R",""
"105877","R",""
"105878","R",""
"105879","R",""
"105881","R",""
"105882","R",""
"105883","R","A"
"105902","C","R"
"105903","C","R"
"105904","C",""
"105909","R",""
"105910","R",""
"105911","R",""
"105914","R",""
"105915","I","C"
"105920","R",""
"105921","R",""
"105923","R",""
"105924","R",""
"105925","R",""
"105926","R",""
"105928","R",""
"105933","C","R"
"105935","R",""
"105936","R",""
"105937","R",""
"105938","C",""
"105943","R",""
"105944","R",""
"105946","R",""
"105948","R",""
"105950","R",""
"105951","R",""
"105952","R",""
"105954","R",""
"105955","R",""
"105957","R",""
"105958","R",""
"105959","R",""
"105960","R",""
"105961","R",""
"105962","R",""
"105964","R",""
"105965","R",""
"105966","R",""
"105967","R",""
"105968","R",""
"105969","R",""
"105970","R",""
"105971","R",""
"105972","R",""
"105973","R",""
"105974","R",""
"105975","R",""
"105976","R",""
"105977","R","C"
"105978","R","C"
"105979","R",""
"105980","R",""
"105981","C","R"
"105985","R",""
"105986","R",""
"105987","R",""
"105988","R",""
"105989","R",""
"105990","R",""
"105991","R",""
"105992","R",""
"105993","R",""
"105994","R",""
"105995","R",""
"105997","R",""
"105998","R",""
"105999","R",""
"106000","R",""
"106001","R",""
"106002","R",""
"106003","R",""
"106004","R",""
"106005","R",""
"106006","R",""
"106007","R",""
"106008","R",""
"106009","R",""
"106010","R",""
"106014","R",""
"106015","R",""
"106016","R",""
"106017","R",""
"106018","R",""
"106029","R","C"
"106030","R",""
"106035","R",""
"106036","R",""
"106037","R",""
"106038","R",""
"106039","R",""
"106040","R",""
"106041","R",""
"106043","R",""
"106044","R",""
"106045","R",""
"106046","R",""
"106054","R",""
"106057","R",""
"106058","C",""
"106062","R",""
"106063","R",""
"106064","R",""
"106065","R",""
"106066","R",""
"106067","R",""
"106068","R",""
"106069","R",""
"106070","R",""
"106071","R",""
"106072","R",""
"106076","R",""
"106077","R",""
"106078","R",""
"106079","R",""
"106080","C","R"
"106081","R",""
"106083","R",""
"106084","R",""
"106085","R",""
"106086","R",""
"106087","R",""
"106088","R",""
"106089","R",""
"106090","R",""
"106091","R",""
"106092","R",""
"106093","R",""
"106094","R",""
"106100","R",""
"106101","R",""
"106102","R",""
"106103","R",""
"106104","R",""
"106105","R",""
"106106","R",""
"106107","R",""
"106108","R",""
"106109","R",""
"106110","R",""
"106111","R",""
"106112","R",""
"106116","R",""
"106117","R",""
"106118","R",""
"106119","R",""
"106120","R",""
"106121","R",""
"106122","R",""
"106123","R",""
"106124","C","R"
"106126","C",""
"106136","R",""
"106137","R",""
"106138","R",""
"106139","R",""
"106140","R",""
"106141","R",""
"106142","R",""
"106147","R",""
"106148","R",""
"106149","R",""
"106158","R","C"
"106160","R","C"
"106161","R",""
"106162","R",""
"106163","R",""
"106164","R",""
"106175","R",""
"106176","R",""
"106177","R","A"
"106178","R",""
"106179","R",""
"106184","R",""
"106186","C",""
"106190","C","R"
"106192","R",""
"106193","R",""
"106194","R",""
"106195","R",""
"106196","R",""
"106208","R",""
"106209","R",""
"106214","R","C"
"106225","R",""
"106256","C","R"
"106258","R",""
"106259","R",""
"106261","R","C"
"106262","R",""
"106263","R",""
"106264","R",""
"106265","R",""
"106266","R",""
"106269","R",""
"106271","R","C"
"106274","R",""
"106275","R",""
"106276","R",""
"106277","R",""
"106285","C",""
"106293","C",""
"106294","C",""
"106296","C",""
"106297","C",""
"106299","C","R"
"106304","C",""
"106305","R",""
"106306","R",""
"106308","R",""
"106309","C",""
"106310","C",""
"106311","C",""
"106314","C",""
"106316","C",""
"106324","R","C"
"106325","R",""
"106326","C","R"
"106328","R",""
"106329","R",""
"106330","R",""
"106331","R",""
"106332","R",""
"106333","R",""
"106334","R",""
"106335","R",""
"106337","R",""
"106338","R",""
"106339","R",""
"106340","R",""
"106341","R",""
"106342","R",""
"106343","R","A"
"106344","R",""
"106345","R","A"
"106351","C","I"
"106353","R",""
"106355","C",""
"106375","C","I"
"106376","R","C"
"106377","R",""
"106378","R",""
"106379","R",""
"106380","R","C"
"106381","C",""
"106382","R",""
"106394","R",""
"106395","R","C"
"106396","C",""
"106398","R",""
"106400","R",""
"106401","R",""
"106402","R",""
"106403","R",""
"106404","R",""
"106405","R",""
"106406","R",""
"106407","R",""
"106408","C",""
"106409","R",""
"106410","R",""
"106414","R",""
"106415","R",""
"106416","R",""
"106417","R",""
"106418","R",""
"106419","R",""
"106420","R",""
"106421","R",""
"106422","R",""
"106423","R",""
"106424","R",""
"106425","R",""
"106426","R","A"
"106427","R",""
"106428","R","A"
"106429","R","A"
"106430","R",""
"106431","R",""
"106432","R",""
"106433","R",""
"106434","R",""
"106435","R",""
"106436","R",""
"106438","C","I"
"106439","C","R"
"106440","C","R"
"106450","R","C"
"106451","R",""
"106452","R","C"
"106453","R","C"
"106454","R","C"
"106455","R","C"
"106456","R",""
"106457","R","C"
"106458","R","C"
"106459","R","C"
"106468","C","R"
"106469","R",""
"106470","R","C"
"106471","C","R"
"106475","R",""
"106476","R",""
"106477","R",""
"106478","R",""
"106479","R",""
"106480","R",""
"106481","R",""
"106482","R",""
"106484","R",""
"106485","R",""
"106486","R",""
"106487","R",""
"106488","R",""
"106489","R",""
"106490","R",""
"106491","R",""
"106492","R",""
"106493","R",""
"106494","R",""
"106495","R",""
"106496","R",""
"106497","R",""
"106500","C",""
"106501","C",""
"106502","C",""
"106505","R",""
"106506","R",""
"106507","R",""
"106508","R",""
"106509","R",""
"106510","R",""
"106511","R",""
"106512","R",""
"106513","R",""
"106514","R",""
"106515","R",""
"106516","R",""
"106517","R",""
"106518","R",""
"106519","R",""
"106521","R",""
"106522","R",""
"106523","R",""
"106524","R",""
"106525","R",""
"106527","R",""
"106528","R",""
"106529","C",""
"106530","C",""
"106533","R",""
"106534","R",""
"106535","R",""
"106536","R",""
"106537","R",""
"106538","R",""
"106539","R",""
"106540","R",""
"106541","R",""
"106546","R",""
"106550","R",""
"106551","R",""
"106553","R","C"
"106554","R",""
"106555","R","C"
"106557","C",""
"106565","R",""
"106566","R",""
"106567","R",""
"106568","R",""
"106569","R",""
"106571","R",""
"106572","R",""
"106573","R",""
"106579","R",""
"106580","R",""
"106581","R",""
"106582","R",""
"106583","R",""
"106584","R",""
"106585","R",""
"106586","R",""
"106607","C",""
"106623","C",""
"106629","E","R"
"106630","E","R"
"106631","E","R"
"106632","E","R"
"106633","E","R"
"106634","E","R"
"106635","E",""
"106637","E",""
"106649","R","I"
"106651","C",""
"106652","S","C"
"106659","R",""
"106661","R",""
"106662","R",""
"106670","R","S"
"106671","R",""
"106678","R","C"
"106679","R",""
"106695","R",""
"106696","R",""
"106714","R",""
"106715","R",""
"106725","R",""
"106740","R",""
"106742","C","R"
"106743","R",""
"106749","R",""
"106750","R","C"
"106751","R","C"
"106752","R","C"
"106753","R","C"
"106754","R",""
"106755","R",""
"106756","R",""
"106757","R",""
"106758","R",""
"106761","R",""
"106762","R",""
"106764","R",""
"106794","R",""
"106795","R",""
"106802","R","C"
"106803","R","C"
"106804","R","C"
"106805","R","C"
"106808","R",""
"106811","R",""
"106812","R",""
"106826","R",""
"106836","R",""
"106838","R","S"
"106839","R",""
"106840","R","I"
"106841","R",""
"106858","R",""
"106859","R",""
"106860","R",""
"106862","E",""
"106863","E",""
"106866","R",""
"106868","R",""
"106871","S","R"
"106873","R",""
"106874","R",""
"106875","R",""
"106876","R",""
"106877","R",""
"106878","R",""
"106879","R",""
"106880","R",""
"106889","R",""
"106897","R",""
"106904","E","R"
"106905","R","I"
"106917","R",""
"106918","R",""
"106919","R",""
"106920","R",""
"106921","R",""
"106922","R",""
"106930","R",""
"106936","R","C"
"106937","C","R"
"106939","R",""
"106947","R",""
"106948","R",""
"106950","R",""
"106952","R",""
"106961","C","R"
"106962","R","S"
